"Player","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST.x","STL","BLK","TOV","PF","PS.G","TEAM","AGE","HEIGHT","WEIGHT","DRAFT.ROUND","DRAFT.NUMBER","GP","PTS","REB","AST.y","NETRTG","OREB.","DREB.","USG.","TS.","AST.","heightnum"
"Dwyane Wade",36,"MIA",21,0,22.2,4.8,11.8,0.409,0.4,2,0.22,4.4,9.8,0.447,0.427,2,2.6,0.745,0.5,2.9,3.4,3.1,0.9,0.7,2.3,1.9,12,"MIA",36,"6-4",220,"1","5",5,16.6,4.2,3.6,2.1,"2.3%","15.0%","30.2%","51.0%","28.6%",76
"Dwyane Wade",36,"TOT",67,3,22.9,4.5,10.2,0.438,0.5,1.7,0.288,4,8.5,0.468,0.462,2,2.8,0.714,0.7,3,3.8,3.4,0.9,0.7,2.1,1.9,11.4,"MIA",36,"6-4",220,"1","5",5,16.6,4.2,3.6,2.1,"2.3%","15.0%","30.2%","51.0%","28.6%",76
"E'Twaun Moore",28,"NOP",82,80,31.5,5.2,10.1,0.508,1.6,3.7,0.425,3.6,6.5,0.556,0.585,0.6,0.8,0.706,0.7,2.2,2.9,2.3,1,0.1,1.2,2.2,12.5,"NOP",29,"6-4",191,"2","55",9,11.3,2.6,1.7,2.8,"2.3%","5.8%","15.9%","53.7%","6.7%",76
"Ed Davis",28,"POR",78,0,18.9,2.2,3.7,0.582,0,0,0,2.2,3.7,0.584,0.582,0.9,1.4,0.667,2.3,5,7.4,0.5,0.4,0.7,0.8,2.4,5.3,"POR",28,"6-10",245,"1","13",4,2.8,8,0,-3.4,"8.5%","46.6%","10.2%","46.8%","0.0%",72
"Ekpe Udoh",30,"UTA",63,3,12.9,1,1.9,0.5,0,0,0,1,1.9,0.504,0.5,0.7,0.9,0.75,1.1,1.3,2.4,0.8,0.7,1.2,0.3,1.7,2.6,"UTA",31,"6-10",245,"1","6",6,0.3,0.5,0,-19.8,"4.3%","10.0%","7.3%","36.2%","0.0%",72
"Emeka Okafor",35,"NOP",26,19,13.6,1.8,3.7,0.505,0,0,NA,1.8,3.7,0.505,0.505,0.7,0.8,0.818,1.8,2.8,4.6,0.3,0.3,1,0.5,1.2,4.4,"NOP",35,"6-10",255,"1","2",1,0,0,0,-80,"0.0%","0.0%","11.1%","0.0%","0.0%",72
"Eric Bledsoe",28,"PHO",3,3,27.7,5.3,13.3,0.4,1.3,4.3,0.308,4,9,0.444,0.45,3.7,4.7,0.786,1,1.3,2.3,3,1.3,0.7,3.3,2,15.7,"MIL",28,"6-1",205,"1","18",7,13.6,3.6,3.7,8.1,"1.7%","11.2%","23.9%","51.2%","17.3%",73
"Eric Bledsoe",28,"MIL",71,71,31.5,6.4,13.4,0.476,1.7,4.9,0.349,4.7,8.5,0.55,0.54,3.4,4.3,0.793,0.7,3.2,3.9,5.1,2,0.6,2.9,2.5,17.8,"MIL",28,"6-1",205,"1","18",7,13.6,3.6,3.7,8.1,"1.7%","11.2%","23.9%","51.2%","17.3%",73
"Eric Bledsoe",28,"TOT",74,74,31.4,6.3,13.4,0.473,1.7,4.9,0.347,4.6,8.5,0.545,0.536,3.4,4.3,0.792,0.7,3.1,3.8,5,2,0.6,2.9,2.5,17.7,"MIL",28,"6-1",205,"1","18",7,13.6,3.6,3.7,8.1,"1.7%","11.2%","23.9%","51.2%","17.3%",73
"Eric Gordon",29,"HOU",69,30,31.2,6,14.1,0.428,3.2,8.8,0.359,2.9,5.2,0.544,0.54,2.8,3.5,0.809,0.4,2.1,2.5,2.2,0.6,0.4,1.9,1.7,18,"HOU",29,"6-4",215,"1","7",13,14,2.7,1.5,1.3,"2.2%","7.0%","20.9%","52.1%","7.4%",76
"Ersan Ilyasova",30,"PHI",23,3,24.1,4,9.2,0.439,1.3,3.6,0.361,2.7,5.6,0.488,0.509,1.4,2,0.733,1.9,4.8,6.7,1.7,0.7,0.4,1.3,2.8,10.8,"PHI",31,"6-10",235,"2","36",10,9.3,7.6,1.3,7.4,"11.8%","21.9%","18.5%","49.9%","8.6%",72
"Ersan Ilyasova",30,"ATL",46,40,25.5,4,8.7,0.459,1.3,3.7,0.359,2.7,5,0.532,0.535,1.6,2,0.8,1.6,3.8,5.5,1.1,1,0.4,0.9,2,10.9,"PHI",31,"6-10",235,"2","36",10,9.3,7.6,1.3,7.4,"11.8%","21.9%","18.5%","49.9%","8.6%",72
